accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz,timestamp
-0.0901489,0.131012,-0.972412,-0.0809374,0.00601557,-0.0585163,4.94008,61.064,-63.2856,01:04:55 
-0.0898438,0.13028,-0.97348,-0.0508593,0.0229688,-0.00328186,5.49547,61.8533,-62.4379,01:04:55 
-0.0909729,0.132538,-0.972504,-0.0683594,-0.0295312,0.0492181,5.58316,62.6717,-62.701,01:04:55 
-0.0905151,0.131042,-0.973175,0.0191406,0.0404688,-0.0207819,5.23239,62.2625,-62.4671,01:04:55 
-0.091095,0.129578,-0.972595,0.0154492,-0.0149023,0.0434761,5.057,62.6425,-62.3794,01:04:55 
-0.0911255,0.130737,-0.97168,-0.00328135,0.0366407,0.024062,5.64163,62.5548,-62.6133,01:04:55 
-0.0901794,0.130341,-0.972443,-0.0732813,0.00164071,-0.115938,5.37854,62.4671,-62.584,01:04:55 
-0.09021,0.131409,-0.973022,-0.213281,0.0716408,0.0940621,5.61239,61.9702,-62.6425,01:04:55 
-0.0904236,0.130188,-0.973694,-0.0962483,0.0689062,-0.0689065,5.58316,62.0286,-62.7594,01:04:55 
-0.0900269,0.130981,-0.971863,-0.0612483,0.0689062,0.00109354,5.40778,61.3271,-61.9702,01:04:55 
-0.0896912,0.130615,-0.973236,0.0612517,-0.106094,0.00109357,5.96317,62.4379,-62.6133,01:04:55 
-0.0899963,0.130981,-0.971771,-0.0120291,0.0689063,-0.0492191,5.46624,62.2333,-62.4963,01:04:55 
-0.0915527,0.130737,-0.97171,0.0929711,-0.0535937,0.00328094,5.78778,62.4087,-62.0286,01:04:55 
-0.0899353,0.13031,-0.972504,-0.169529,-0.0185937,-0.0492191,5.87547,62.1456,-62.1163,01:04:55 
-0.0909729,0.13031,-0.973816,0.156955,0.0831251,0.0207809,5.87547,62.2333,-62.701,01:04:55 
-0.0897217,0.130096,-0.973206,0.0344552,0.013125,-0.0317191,6.16779,60.6548,-62.204,01:04:55 
-0.0901794,0.130188,-0.971893,0.069455,0.0306251,0.0207809,5.26162,62.1748,-62.7594,01:04:55 
-0.0909729,0.129944,-0.971924,-0.000544908,-0.00437495,-0.0492191,5.58316,61.9994,-62.9056,01:04:55 
-0.0905457,0.131073,-0.971924,-0.0880444,-0.0202343,-0.126329,5.75855,62.1748,-62.7887,01:04:55 
-0.0909119,0.129974,-0.97287,-0.0355445,0.0497658,-0.0738286,5.70009,62.2333,-62.3794,01:04:55 
-0.0910645,0.131409,-0.972717,0.104456,-0.0202343,-0.0563286,6.02163,62.1163,-61.5902,01:04:55 
-0.0911865,0.131042,-0.973358,-0.0366402,0.00164071,0.015312,6.10932,62.2625,-62.4671,01:04:55 
-0.0911255,0.131348,-0.971924,-0.0891402,0.0366407,-0.037188,5.70009,61.9702,-62.4963,01:04:55 
-0.0906372,0.131287,-0.972229,0.01586,0.0191407,-0.107188,5.55393,62.3502,-62.5256,01:04:55 
-0.0906067,0.129822,-0.971466,0.0940636,0.0601563,0.00546825,5.43701,61.7071,-62.321,01:04:56 
-0.0899658,0.130127,-0.971802,-0.0284363,-0.00984368,0.00546825,5.87547,62.0871,-62.4087,01:04:56 
-0.0904236,0.130737,-0.973358,-0.0459366,0.0251563,-0.0995319,5.67086,62.2625,-62.1163,01:04:56 
-0.0904541,0.130524,-0.971832,-0.0579682,0.0864065,-0.0257037,5.81701,62.584,-63.0517,01:04:56 
-0.0909119,0.13031,-0.973419,-0.057968,-0.0185935,-0.0432038,6.05086,61.9702,-62.4963,01:04:56 
-0.0895996,0.130249,-0.973389,-0.0229681,0.0514065,0.131796,6.05086,62.5548,-62.4963,01:04:56 
-0.0898132,0.130737,-0.972168,-0.0929681,0.0339065,0.131796,6.02163,62.6717,-62.5256,01:04:56 
-0.0894165,0.130127,-0.971863,-0.0579685,-0.024062,-0.0317195,5.75855,61.941,-62.7887,01:04:56 
-0.0901794,0.1315,-0.97168,-0.0929685,-0.076562,0.0557805,5.43701,61.2394,-62.7302,01:04:56 
-0.0913391,0.129791,-0.971436,-0.00546849,0.028438,0.0382805,5.9924,61.5609,-61.6779,01:04:56 
-0.0906372,0.130402,-0.973755,0.116485,-0.101171,0.0776556,5.32008,62.2333,-61.7071,01:04:56 
-0.0899048,0.130554,-0.972504,0.0289844,0.0213286,-0.132345,5.78778,62.1456,-62.701,01:04:56 
-0.0916138,0.130859,-0.974121,0.0289846,0.0213286,0.0251556,6.60626,60.4502,-62.6133,01:04:56 
-0.0893555,0.131531,-0.972198,-0.00273287,0.000547199,-0.01586,5.90471,62.321,-62.4963,01:04:56 
-0.0906677,0.13031,-0.972717,-0.00273287,-0.0519528,0.03664,6.16779,62.321,-62.4087,01:04:56 
-0.0909119,0.129089,-0.972382,0.102267,0.0880472,-0.01586,5.61239,61.7656,-62.6425,01:04:56 
-0.0901489,0.13092,-0.97287,-0.107733,-0.0344528,0.03664,5.5247,61.941,-62.6425,01:04:56 
-0.0910645,0.130219,-0.973846,-0.00109267,-0.0131246,-0.0847664,5.90471,62.0871,-62.1456,01:04:56 
-0.0895386,0.130188,-0.972473,-0.0185926,-0.0306246,0.0902337,5.87547,62.0871,-62.5256,01:04:56 
-0.0904846,0.130463,-0.972717,-0.0360925,0.0218754,0.0202336,5.70009,61.5025,-62.0871,01:04:56 
-0.0895996,0.131897,-0.972534,-0.00929558,-0.0371872,-0.042657,5.75855,62.2917,-62.8764,01:04:56 
-0.0896912,0.131378,-0.970245,0.130704,-0.0196872,0.0623431,5.75855,61.9994,-62.7594,01:04:56 
-0.0910034,0.130554,-0.971863,-0.0792957,0.0328128,-0.077657,5.49547,62.2917,-63.3733,01:04:56 
-0.0908813,0.130798,-0.973541,-0.00492156,0.0300784,0.0246086,5.70009,62.0286,-63.4317,01:04:56 
-0.0900269,0.130798,-0.973816,0.0475783,-0.00492165,0.0071086,5.72932,62.204,-62.6717,01:04:56 
-0.0899048,0.129822,-0.973297,0.135079,0.0475784,0.0596086,5.5247,61.5609,-62.5256,01:04:56 
